adwaita-icon-theme-3.38.0      GNOME Symbolic Icons
aom-3.1.1                      AV1 reference encoder/decoder
appres-1.0.5                   Program to list application's resources
argp-standalone-1.3_4          Standalone version of arguments parsing functions from GLIBC
argyllcms-1.9.2_5              ICC compatible color management system
at-spi2-atk-2.34.2             Assisted Technology Provider module for GTK+
at-spi2-core-2.36.0            Assistive Technology Service Provider Interface
atk-2.36.0                     GNOME accessibility toolkit (ATK)
avahi-app-0.8                  Service discovery on a local network
bash-5.1.8                     GNU Project's Bourne Again SHell
bitmap-1.0.9                   Bitmap editor and converter utilities for X
bspwm-0.9.10                   Tiling window manager based on binary space partitioning
ca_root_nss-3.68               Root certificate bundle from the Mozilla Project
cairo-1.17.4,3                 Vector graphics library with cross-device output support
colord-1.3.5_1                 Manage color profiles to accurately color input/output devices
consolekit2-1.2.4              Framework for defining and tracking users
cups-2.3.3op2                  Common UNIX Printing System
curl-7.77.0                    Command line tool and library for transferring data with URLs
cvsps-2.1_2                    Create patchset information from CVS
dav1d-0.9.0                    Small and fast AV1 decoder
dbus-1.12.20_5                 Message bus system for inter-application communication
dbus-glib-0.112                GLib bindings for the D-BUS messaging system
dejavu-2.37_1                  Bitstream Vera Fonts clone with a wider range of characters
desktop-file-utils-0.26        Couple of command line utilities for working with desktop entries
doas-6.3p5                     Simple sudo alternative to run commands as another user
drm-fbsd13-kmod-5.4.92.g20210419 DRM modules for the linuxkpi-based KMS components
drm-kmod-g20190710_1           Metaport of DRM modules for the linuxkpi-based KMS components
encodings-1.0.5,1              X.Org Encoding fonts
evdev-proto-5.8                Input event device header files
exa-0.10.1_2                   Modern replacement for ls
expat-2.4.1                    XML 1.0 parser written in C
fd-find-8.2.1_5                Simple, fast and user-friendly alternative to find
ffmpeg-4.4_2,1                 Realtime audio/video encoder/converter and streaming server
fftw3-3.3.9                    Fast C routines to compute the Discrete Fourier Transform
fftw3-float-3.3.9              Fast Discrete Fourier Transform (Single Precision C Routines)
firefox-90.0.1,2               Web browser based on the browser portion of Mozilla
flac-1.3.3_1                   Free lossless audio codec
font-adobe-100dpi-1.0.3_4      X.Org Adobe 100dpi font
font-adobe-75dpi-1.0.3_4       X.Org Adobe 75dpi font
font-adobe-utopia-100dpi-1.0.4_4 X.Org Adobe Utopia 100dpi font
font-adobe-utopia-75dpi-1.0.4_4 X.Org Adobe Utopia 75dpi font
font-adobe-utopia-type1-1.0.4_4 X.Org Adobe Utopia Type1 font
font-alias-1.0.4               X.Org Font aliases
font-arabic-misc-1.0.3_4       X.Org miscellaneous Arabic fonts
font-bh-100dpi-1.0.3_4         X.Org Bigelow Holmes 100dpi font
font-bh-75dpi-1.0.3_4          X.Org Bigelow Holmes 75dpi font
font-bh-lucidatypewriter-100dpi-1.0.3_4 X.Org Bigelow Holmes Lucida TypeWriter 100dpi font
font-bh-lucidatypewriter-75dpi-1.0.3_4 X.Org Bigelow Holmes Lucida TypeWriter 75dpi font
font-bh-ttf-1.0.3_4            X.Org Bigelow & Holmes TTF font
font-bh-type1-1.0.3_4          X.Org Bigelow Holmes Type1 font
font-bitstream-100dpi-1.0.3_4  X.Org Bitstream Vera 100dpi font
font-bitstream-75dpi-1.0.3_4   X.Org Bitstream Vera 75dpi font
font-bitstream-type1-1.0.3_4   X.Org Bitstream Vera Type1 font
font-cronyx-cyrillic-1.0.3_4   X.Org Cronyx Cyrillic font
font-cursor-misc-1.0.3_4       X.Org miscellaneous Cursor fonts
font-daewoo-misc-1.0.3_4       X.Org miscellaneous Daewoo fonts
font-dec-misc-1.0.3_4          X.Org miscellaneous Dec fonts
font-ibm-type1-1.0.3_4         X.Org IBM Type1 font
font-isas-misc-1.0.3_4         X.Org miscellaneous ISAS fonts
font-jis-misc-1.0.3_4          X.Org miscellaneous JIS fonts
font-micro-misc-1.0.3_4        X.Org miscellaneous Micro fonts
font-misc-cyrillic-1.0.3_4     X.Org miscellaneous Cyrillic font
font-misc-ethiopic-1.0.4       X.Org miscellaneous Ethiopic font
font-misc-meltho-1.0.3_4       X.Org miscellaneous Meltho font
font-misc-misc-1.1.2_4         X.Org miscellaneous Misc fonts
font-mutt-misc-1.0.3_4         X.Org miscellaneous Mutt fonts
font-schumacher-misc-1.1.2_4   X.Org miscellaneous Schumacher fonts
font-screen-cyrillic-1.0.4_4   X.Org Screen Cyrillic font
font-sony-misc-1.0.3_4         X.Org miscellaneous Sony fonts
font-sun-misc-1.0.3_4          X.Org miscellaneous Sun fonts
font-winitzki-cyrillic-1.0.3_4 X.Org Winitzki Cyrillic font
font-xfree86-type1-1.0.4_4     X.Org XFree86 Type1 font
fontconfig-2.13.93_1,1         XML-based font configuration API for X Windows
freetype2-2.10.4               Free and portable TrueType font rendering engine
fribidi-1.0.10                 Free Implementation of the Unicode Bidirectional Algorithm
gdbm-1.20                      GNU database manager
gdk-pixbuf2-2.40.0             Graphic library for GTK+
gettext-runtime-0.21           GNU gettext runtime libraries and programs
giflib-5.2.1                   Tools and library routines for working with GIF images
git-2.32.0_1                   Distributed source code management tool
glib-2.66.8,2                  Some useful routines of C programming (current stable version)
gmmlib-21.2.1                  Intel Graphics Memory Management Library
gmp-6.2.1                      Free library for arbitrary precision arithmetic
gnome_subr-1.0                 Common startup and shutdown subroutines used by GNOME scripts
gnutls-3.6.16                  GNU Transport Layer Security library
gpu-firmware-kmod-g20210330    Firmware modules for the linuxkpi-based KMS components
graphite2-1.3.14               Rendering capabilities for complex non-Roman writing systems
gsettings-desktop-schemas-3.38.0 Collection of globally shared GSetting schemas
gtk-update-icon-cache-3.24.26  Gtk-update-icon-cache utility from the Gtk+ toolkit
gtk2-2.24.33                   Gimp Toolkit for X11 GUI (previous stable version)
gtk3-3.24.29_1                 Gimp Toolkit for X11 GUI (current stable version)
harfbuzz-2.8.2                 OpenType text shaping engine
hicolor-icon-theme-0.17        High-color icon theme shell from the FreeDesktop project
htop-3.0.4_1                   Better top(1) - interactive process viewer
iceauth-1.0.8_2                ICE authority file utility for X
icu-69.1,1                     International Components for Unicode (from IBM)
indexinfo-0.3.1                Utility to regenerate the GNU info page index
jbigkit-2.1_1                  Lossless compression for bi-level images such as scanned pages, faxes
jpeg-turbo-2.0.6               SIMD-accelerated JPEG codec which replaces libjpeg
jsoncpp-1.9.4                  JSON reader and writer library for C++
kitty-0.21.2                   Cross-platform, fast, featureful, GPU-based terminal emulator
lame-3.100_3                   Fast MP3 encoder kit
lcms2-2.12                     Accurate, fast, and small-footprint color management engine
libFS-1.0.8                    The FS library
libICE-1.0.10,1                Inter Client Exchange library for X11
libSM-1.2.3,1                  Session Management library for X11
libX11-1.7.2,1                 X11 library
libXScrnSaver-1.2.3_2          The XScrnSaver library
libXau-1.0.9                   Authentication Protocol library for X11
libXaw-1.0.14,2                X Athena Widgets library
libXcomposite-0.4.5,1          X Composite extension library
libXcursor-1.2.0               X client-side cursor loading library
libXdamage-1.1.5               X Damage extension library
libXdmcp-1.1.3                 X Display Manager Control Protocol library
libXext-1.3.4,1                X11 Extension library
libXfixes-5.0.3_2              X Fixes extension library
libXfont-1.5.4_2,2             X font library
libXfont2-2.0.4                X font library
libXft-2.3.3                   Client-sided font API for X applications
libXi-1.7.10,1                 X Input extension library
libXinerama-1.1.4_2,1          X11 Xinerama library
libXmu-1.1.3,1                 X Miscellaneous Utilities libraries
libXpm-3.5.13                  X Pixmap library
libXrandr-1.5.2                X Resize and Rotate extension library
libXrender-0.9.10_2            X Render extension library
libXres-1.2.1                  X Resource usage library
libXt-1.2.1,1                  X Toolkit library
libXtst-1.2.3_2                X Test extension
libXv-1.0.11_2,1               X Video Extension library
libXvMC-1.0.12                 X Video Extension Motion Compensation library
libXxf86dga-1.1.5              X DGA Extension
libXxf86vm-1.1.4_3             X Vidmode Extension
libarchive-3.5.1,1             Library to create and read several streaming archive formats
libass-0.15.1                  Portable ASS/SSA subtitle renderer
libconfig-1.7.2_1              Simple library for manipulating structured configuration files
libdaemon-0.14_1               Lightweight C library that eases the writing of UNIX daemons
libdmx-1.1.4_2                 DMX extension library
libdrm-2.4.106,1               Userspace interface to kernel Direct Rendering Module services
libedit-3.1.20210216,1         Command line editor library
libepoll-shim-0.0.20210418     Small epoll implementation using kqueue
libepoxy-1.5.8_1               Library to handle OpenGL function pointer management
libev-4.33,1                   Full-featured and high-performance event loop library
libevdev-1.9.1.20200928        Linux Event Device library
libevent-2.1.12                API for executing callback functions on events or timeouts
libffi-3.3_1                   Foreign Function Interface
libfontenc-1.1.4               The fontenc Library
libgcrypt-1.9.3                General purpose cryptographic library based on the code from GnuPG
libgit2-1.1.0                  Portable, pure C implementation of the Git core
libglvnd-1.3.3                 GL Vendor-Neutral Dispatch library
libgpg-error-1.42              Common error values for all GnuPG components
libgsf-1.14.47_1               Extensible I/O abstraction for dealing with structured file formats
libgudev-234                   GObject bindings for libudev
libiconv-1.16                  Character set conversion library
libidn2-2.3.1                  Implementation of IDNA2008 internationalized domain names
libinotify-20180201_2          Kevent based inotify compatible library
libinput-1.16.4                Generic input library
libltdl-2.4.6                  System independent dlopen wrapper
liblz4-1.9.3,1                 LZ4 compression library, lossless and very fast
libmpdclient-2.19_1            API library for interfacing MPD
libmtdev-1.1.6                 Multitouch Protocol Translation Library
libnghttp2-1.43.0              HTTP/2.0 C Library
libogg-1.3.5,4                 Ogg bitstream library
libpaper-1.1.24.4              Library providing routines for paper size management
libpci-3.7.0_1                 PCI configuration space I/O made easy
libpciaccess-0.16              Generic PCI access library
libpthread-stubs-0.4           Weak aliases for pthread functions
librsvg2-rust-2.50.3_4         Library for parsing and rendering SVG vector-graphic files
libsndfile-1.0.31              Reading and writing files containing sampled sound (like WAV or AIFF)
libsoxr-0.1.3_2                High quality, one-dimensional sample-rate conversion library
libssh2-1.9.0_3,3              Library implementing the SSH2 protocol
libtasn1-4.17.0                ASN.1 structure parser library
libtermkey-0.22                Easy processing of keyboard entry from terminal-based programs
libtheora-1.1.1_7              Theora video codec for the Ogg multimedia streaming system
libudev-devd-0.4.2_1           libudev-compatible interface for devd
libunistring-0.9.10_1          Unicode string library
libunwind-20201110             Generic stack unwinding library
libuv-1.41.0                   Multi-platform support library with a focus on asynchronous I/O
libv4l-1.20.0_2                Video4Linux library
libva-2.12.0                   VAAPI wrapper and dummy driver
libva-intel-media-driver-21.2.3 VAAPI driver for Intel HD 5000 (Gen8) or newer
libvdpau-1.4                   VDPAU wrapper and tracing library
libvorbis-1.3.7_2,3            Audio compression codec library
libvpx-1.10.0                  VP8/VP9 reference encoder/decoder
libvterm-0.1.1                 Implementation of a VT220/xterm/ECMA-48 terminal emulator
libwacom-1.5                   Adds tablet support to libinput
libx264-0.163.3060             H.264/MPEG-4 AVC Video Encoding (Library)
libxcb-1.14_1                  The X protocol C-language Binding (XCB) library
libxkbcommon-1.3.0             Keymap handling library for toolkits and window systems
libxkbfile-1.1.0               XKB file library
libxml2-2.9.12                 XML parser library for GNOME
libxshmfence-1.3_1             Shared memory 'SyncFence' synchronization primitive
libxslt-1.1.34_2               XML stylesheet transformation library
llvm10-10.0.1_7                LLVM and Clang
lua52-5.2.4                    Small, compilable scripting language providing easy access to C code
luajit-2.0.5_5                 Just-In-Time Compiler for Lua
luv-1.41.0.0                   libuv bindings for lua
mesa-dri-20.2.3_2              OpenGL hardware acceleration drivers for DRI2+
mesa-libs-20.2.3_1             OpenGL libraries that support GLX and EGL clients
mkfontscale-1.2.1              Creates an index of scalable font files for X
mpdecimal-2.5.1                C/C++ arbitrary precision decimal floating point libraries
msgpack-3.3.0                  Efficient binary serialization, like JSON but smaller and faster
